BIBLIOTECA,0,59,OTRO
SALON GRADOS, 1, 99, OTRO
SALON ACTOS, 1, 300, OTRO
SALA FIDETIA, 1, 20, OTRO
A0.10,0,138,TEORIA
A0.11,0,138,TEORIA
A0.12,0,135,TEORIA
A0.13,0,181,TEORIA
A1.10,1,108,TEORIA
A1.13,1,136,TEORIA
A1.14,1,77,TEORIA
A1.16,1,186,EXAMEN
A2.10,2,108,TEORIA
A2.11,2,56,TEORIA
A2.12,2,59,TEORIA
A2.14,2,56,TEORIA
A2.15,2,33,TEORIA
A2.16,2,186,EXAMEN
A3.10,3,210,EXAMEN
A3.11,3,175,EXAMEN
A4.30,4,41,LABORATORIO
A4.31,4,53,LABORATORIO
A4.32,4,33,LABORATORIO
A4.33,4,25,LABORATORIO
A4.35,4,53, LABORATORIO
B1.31,1,25, LABORATORIO
B1.32,1,25, LABORATORIO
B1.33,1,25, LABORATORIO
B1.34,1,25, LABORATORIO
B1.35,1,25, LABORATORIO
B1.36,1,25, LABORATORIO
B2.30,2,4, LABORATORIO
F0.10,0,88,TEORIA
F0.31,0,49, LABORATORIO 
F0.81,0,20,SEMINARIO
F1.30,1,49, LABORATORIO
F1.31,1,51, LABORATORIO
F1.32,1,49, LABORATORIO
F1.33,1,51, LABORATORIO
G0.10,0,84,TEORIA
H0.10,0,119,TEORIA
H0.11,0,119,TEORIA
H0.12,0,119,TEORIA
H0.13,0,119,TEORIA
H1.10,1,119,TEORIA
H1.12,1,119,TEORIA
H1.81,1,15,LABORATORIO
I0.10,0,84,TEORIA
I1.10,1,97,TEORIA
I2.31,2,41,LABORATORIO
I2.33,2,45,LABORATORIO
I2.35,2,45,LABORATORIO
