title,type,release_year,runtime,genres,seasons,imdb_score,imdb_votes
Five Came Back: The Reference Films,SHOW,1945,48,['documentation'],1,0,0
Taxi Driver,MOVIE,1976,113,['crime'; 'drama'],0,8.3,795222
Monty Python and the Holy Grail,MOVIE,1975,91,['comedy'; 'fantasy'],0,8.2,530877
Life of Brian,MOVIE,1979,94,['comedy'],0,8,392419
The Exorcist,MOVIE,1973,133,['horror'],0,8.1,391942
Monty Python's Flying Circus,SHOW,1969,30,['comedy'; 'european'],4,8.8,72895
Dirty Harry,MOVIE,1971,102,['thriller'; 'crime'; 'action'],0,7.7,153463
My Fair Lady,MOVIE,1964,170,['drama'; 'music'; 'romance'; 'family'],0,7.8,94121
The Blue Lagoon,MOVIE,1980,104,['romance'; 'drama'],0,5.8,69053
Bonnie and Clyde,MOVIE,1967,110,['drama'; 'crime'; 'action'],0,7.7,111189
The Professionals,MOVIE,1966,117,['western'; 'action'; 'european'],0,7.3,16168
The Guns of Navarone,MOVIE,1961,158,['war'; 'action'; 'drama'],0,7.5,50150
Lupin the Third: The Castle of Cagliostro,MOVIE,1979,100,['comedy'; 'animation'; 'action'; 'fantasy'; 'family'],0,7.6,30277
Richard Pryor: Live in Concert,MOVIE,1979,78,['comedy'; 'documentation'],0,8.1,5141
The Long Riders,MOVIE,1980,99,['western'; 'crime'],0,6.9,11329
White Christmas,MOVIE,1954,115,['romance'; 'comedy'; 'music'],0,7.5,42373
Cairo Station,MOVIE,1958,77,['drama'; 'crime'; 'comedy'],0,7.5,4385
The Queen,MOVIE,1968,68,['documentation'],0,7.2,1117
Hitler: A Career,MOVIE,1977,150,['documentation'; 'history'; 'european'],0,7.5,2416
FTA,MOVIE,1972,97,['comedy'; 'documentation'; 'music'],0,6.2,411
Saladin the Victorious,MOVIE,1963,186,['drama'; 'war'; 'action'; 'history'; 'romance'],0,7.6,2470
Singapore,MOVIE,1960,158,['drama'; 'thriller'; 'crime'],0,6.4,82
Dark Waters,MOVIE,1956,120,['drama'; 'action'; 'romance'; 'thriller'],0,6.7,590
Alexandria… Why?,MOVIE,1979,133,['drama'],0,7.2,1689
